# SiO2 deposited by plasma-assisted reactive magnetron sputtering on a Buhler Leybold Optics HELIOS 800, Institut Fresnel, March 2026 campaign. Optical constants determined from the relative transmittance of the single-layer witnesses and published with Volet 1 (Optics Continuum). sigma_n is the half-width of the published uncertainty envelope. Beyond the last interference extremum, near 4840 nm, the index is no longer constrained by the fringe positions; see valid_range_nm in the study files. Never adjusted.
Wavelength_nm,n,k,sigma_n
3290,1.4371,0.000458,0.00695
3300,1.4369,0.00046,0.00695
3310,1.4367,0.000462,0.00695
3320,1.4365,0.000464,0.00695
3330,1.4363,0.000466,0.00695
3340,1.4361,0.000468,0.00695
3350,1.4359,0.00047,0.00695
3360,1.4357,0.000472,0.00695
3370,1.4355,0.000474,0.0069
3380,1.4353,0.000476,0.0069
3390,1.4352,0.000478,0.0069
3400,1.435,0.00048,0.0069
3410,1.4348,0.000482,0.0069
3420,1.4346,0.000484,0.0069
3430,1.4344,0.000486,0.00685
3440,1.4342,0.000488,0.00685
3450,1.434,0.000491,0.00685
3460,1.4338,0.000493,0.00685
3470,1.4337,0.000495,0.00685
3480,1.4335,0.000497,0.00685
3490,1.4333,0.000499,0.0068
3500,1.4331,0.000501,0.0068
3510,1.4329,0.000503,0.00685
3520,1.4327,0.000505,0.00685
3530,1.4325,0.000507,0.00685
3540,1.4324,0.000509,0.0068
3550,1.4322,0.000511,0.0068
3560,1.432,0.000513,0.0068
3570,1.4318,0.000515,0.0068
3580,1.4316,0.000517,0.00675
3590,1.4315,0.000519,0.00675
3600,1.4313,0.000521,0.00675
3610,1.4311,0.000523,0.00675
3620,1.4309,0.000525,0.0068
3630,1.4307,0.000527,0.00675
3640,1.4306,0.000529,0.00675
3650,1.4304,0.000531,0.00675
3660,1.4302,0.000533,0.0067
3670,1.43,0.000535,0.0067
3680,1.4298,0.000537,0.0067
3690,1.4297,0.000539,0.00675
3700,1.4295,0.000541,0.0067
3710,1.4293,0.000543,0.0067
3720,1.4291,0.000545,0.0067
3730,1.429,0.000547,0.0067
3740,1.4288,0.000548,0.00665
3750,1.4286,0.00055,0.0067
3760,1.4284,0.000552,0.0067
3770,1.4283,0.000554,0.00665
3780,1.4281,0.000556,0.00665
3790,1.4279,0.000558,0.00665
3800,1.4278,0.00056,0.00665
3810,1.4276,0.000562,0.00665
3820,1.4274,0.000564,0.00665
3830,1.4272,0.000566,0.0066
3840,1.4271,0.000568,0.0066
3850,1.4269,0.00057,0.00665
3860,1.4267,0.000572,0.0066
3870,1.4266,0.000574,0.0066
3880,1.4264,0.000576,0.0066
3890,1.4262,0.000578,0.0066
3900,1.4261,0.00058,0.0066
3910,1.4259,0.000582,0.0066
3920,1.4257,0.000584,0.00655
3930,1.4256,0.000585,0.0066
3940,1.4254,0.000587,0.00655
3950,1.4252,0.000589,0.00655
3960,1.4251,0.000591,0.00655
3970,1.4249,0.000593,0.00655
3980,1.4247,0.000595,0.00655
3990,1.4246,0.000597,0.0065
4000,1.4244,0.000599,0.00655
4010,1.4243,0.000601,0.00655
4020,1.4241,0.000603,0.0065
4030,1.4239,0.000605,0.0065
4040,1.4238,0.000607,0.0065
4050,1.4236,0.000608,0.0065
4060,1.4234,0.00061,0.0065
4070,1.4233,0.000612,0.0065
4080,1.4231,0.000614,0.0065
4090,1.423,0.000616,0.00645
4100,1.4228,0.000618,0.0065
4110,1.4226,0.00062,0.00645
4120,1.4225,0.000622,0.00645
4130,1.4223,0.000624,0.00645
4140,1.4222,0.000625,0.00645
4150,1.422,0.000627,0.0064
4160,1.4219,0.000629,0.00645
4170,1.4217,0.000631,0.00645
4180,1.4215,0.000633,0.00645
4190,1.4214,0.000635,0.00645
4200,1.4212,0.000637,0.0064
4210,1.4211,0.000639,0.00645
4220,1.4209,0.00064,0.0064
4230,1.4208,0.000642,0.00645
4240,1.4206,0.000644,0.0064
4250,1.4205,0.000646,0.0064
4260,1.4203,0.000648,0.0064
4270,1.4202,0.00065,0.0064
4280,1.42,0.000651,0.0064
4290,1.4199,0.000653,0.00635
4300,1.4197,0.000655,0.00635
4310,1.4196,0.000657,0.00635
4320,1.4194,0.000659,0.00635
4330,1.4193,0.000661,0.00635
4340,1.4191,0.000662,0.00635
4350,1.419,0.000664,0.00635
4360,1.4188,0.000666,0.00635
4370,1.4187,0.000668,0.0063
4380,1.4185,0.00067,0.00635
4390,1.4184,0.000672,0.0063
4400,1.4182,0.000673,0.0063
4410,1.4181,0.000675,0.0063
4420,1.4179,0.000677,0.0063
4430,1.4178,0.000679,0.0063
4440,1.4176,0.000681,0.0063
