# Nb2O5 deposited by plasma-assisted reactive magnetron sputtering on a Buhler Leybold Optics HELIOS 800, Institut Fresnel, March 2026 campaign. Optical constants determined from the relative transmittance of the reference single layers and published with Volet 1 (Optics Continuum). sigma_n is the half-width of the published uncertainty envelope. Beyond the last interference extremum, near 4840 nm, the index is no longer constrained by the fringe positions; see valid_range_nm in the study files. Never adjusted.
Wavelength_nm,n,k,sigma_n
2920,2.1954,0.000482,0.00515
2930,2.1951,0.000486,0.00515
2940,2.1948,0.000491,0.0052
2950,2.1945,0.000495,0.0052
2960,2.1942,0.0005,0.0052
2970,2.1938,0.000504,0.00515
2980,2.1935,0.000509,0.00515
2990,2.1932,0.000513,0.0052
3000,2.1929,0.000518,0.0052
3010,2.1925,0.000522,0.00515
3020,2.1922,0.000527,0.0052
3030,2.1918,0.000531,0.0052
3040,2.1915,0.000536,0.0052
3050,2.1912,0.000541,0.0052
3060,2.1908,0.000545,0.0052
3070,2.1904,0.00055,0.0052
3080,2.1901,0.000554,0.0052
3090,2.1897,0.000559,0.00515
3100,2.1894,0.000563,0.0052
3110,2.189,0.000568,0.0052
3120,2.1886,0.000572,0.00515
3130,2.1883,0.000577,0.00515
3140,2.1879,0.000581,0.0052
3150,2.1875,0.000586,0.0052
3160,2.1871,0.00059,0.00515
3170,2.1867,0.000595,0.00515
3180,2.1863,0.000599,0.00515
3190,2.186,0.000604,0.00515
3200,2.1856,0.000608,0.00515
3210,2.1852,0.000613,0.00515
3220,2.1848,0.000617,0.00515
3230,2.1844,0.000622,0.00515
3240,2.184,0.000626,0.00515
3250,2.1835,0.000631,0.00515
3260,2.1831,0.000635,0.00515
3270,2.1827,0.00064,0.0051
3280,2.1823,0.000644,0.0051
3290,2.1819,0.000648,0.0051
3300,2.1815,0.000653,0.00505
3310,2.181,0.000657,0.00505
3320,2.1806,0.000662,0.0051
3330,2.1802,0.000666,0.00505
3340,2.1797,0.000671,0.00505
3350,2.1793,0.000675,0.005
3360,2.1789,0.000679,0.00505
3370,2.1784,0.000684,0.005
3380,2.178,0.000688,0.005
3390,2.1775,0.000693,0.005
3400,2.1771,0.000697,0.005
3410,2.1766,0.000701,0.00495
3420,2.1762,0.000706,0.00495
3430,2.1757,0.00071,0.00495
3440,2.1752,0.000714,0.00495
3450,2.1748,0.000719,0.0049
3460,2.1743,0.000723,0.0049
3470,2.1738,0.000727,0.0049
3480,2.1734,0.000731,0.0049
3490,2.1729,0.000736,0.0049
3500,2.1724,0.00074,0.00485
3510,2.1719,0.000744,0.00485
3520,2.1715,0.000748,0.0048
3530,2.171,0.000753,0.0048
3540,2.1705,0.000757,0.0048
3550,2.17,0.000761,0.00475
3560,2.1695,0.000765,0.00475
3570,2.169,0.00077,0.00475
3580,2.1685,0.000774,0.00475
3590,2.168,0.000778,0.0047
3600,2.1676,0.000782,0.0047
3610,2.1671,0.000786,0.0047
3620,2.1666,0.00079,0.0047
3630,2.166,0.000794,0.00465
3640,2.1655,0.000799,0.0046
3650,2.165,0.000803,0.0046
3660,2.1645,0.000807,0.0046
3670,2.164,0.000811,0.0046
3680,2.1635,0.000815,0.00455
3690,2.163,0.000819,0.00455
3700,2.1625,0.000823,0.00455
3710,2.162,0.000827,0.0045
3720,2.1614,0.000831,0.0045
3730,2.1609,0.000835,0.0045
3740,2.1604,0.000839,0.00445
3750,2.1599,0.000843,0.00445
3760,2.1594,0.000847,0.0044
3770,2.1588,0.000851,0.0044
3780,2.1583,0.000855,0.00435
3790,2.1578,0.000859,0.00435
3800,2.1572,0.000863,0.0043
3810,2.1567,0.000866,0.0043
3820,2.1562,0.00087,0.00425
3830,2.1556,0.000874,0.0043
3840,2.1551,0.000878,0.00425
3850,2.1546,0.000882,0.00425
3860,2.154,0.000886,0.0042
3870,2.1535,0.000889,0.00415
3880,2.1529,0.000893,0.00415
3890,2.1524,0.000897,0.00415
3900,2.1518,0.000901,0.0041
3910,2.1513,0.000905,0.0041
3920,2.1507,0.000908,0.00405
3930,2.1502,0.000912,0.004
3940,2.1496,0.000916,0.00405
3950,2.1491,0.000919,0.004
3960,2.1485,0.000923,0.00395
3970,2.148,0.000927,0.004
3980,2.1474,0.00093,0.00395
3990,2.1469,0.000934,0.0039
4000,2.1463,0.000938,0.00385
4010,2.1458,0.000941,0.00385
4020,2.1452,0.000945,0.00385
4030,2.1446,0.000948,0.0038
4040,2.1441,0.000952,0.0038
4050,2.1435,0.000956,0.00375
4060,2.143,0.000959,0.0037
4070,2.1424,0.000963,0.0037
4080,2.1418,0.000966,0.00365
4090,2.1413,0.00097,0.0037
4100,2.1407,0.000973,0.00365
4110,2.1401,0.000977,0.0036
4120,2.1396,0.00098,0.0036
4130,2.139,0.000983,0.00355
4140,2.1384,0.000987,0.0035
4150,2.1378,0.00099,0.0035
4160,2.1373,0.000994,0.00345
4170,2.1367,0.000997,0.00345
4180,2.1361,0.001,0.0034
4190,2.1356,0.001,0.0034
4200,2.135,0.00101,0.00335
4210,2.1344,0.00101,0.00335
4220,2.1338,0.00101,0.0033
4230,2.1333,0.00102,0.00325
4240,2.1327,0.00102,0.00325
4250,2.1321,0.00102,0.0032
4260,2.1315,0.00103,0.0032
4270,2.1309,0.00103,0.00315
4280,2.1304,0.00103,0.00315
4290,2.1298,0.00104,0.0031
4300,2.1292,0.00104,0.0031
4310,2.1286,0.00104,0.00305
4320,2.128,0.00105,0.00305
4330,2.1275,0.00105,0.003
4340,2.1269,0.00105,0.003
4350,2.1263,0.00106,0.00295
4360,2.1257,0.00106,0.00295
4370,2.1251,0.00106,0.00285
4380,2.1245,0.00106,0.00285
4390,2.124,0.00107,0.0028
4400,2.1234,0.00107,0.0028
4410,2.1228,0.00107,0.00275
4420,2.1222,0.00108,0.00275
4430,2.1216,0.00108,0.0027
4440,2.121,0.00108,0.0027
4450,2.1204,0.00109,0.00265
4460,2.1199,0.00109,0.0026
4470,2.1193,0.00109,0.0026
4480,2.1187,0.00109,0.00255
4490,2.1181,0.0011,0.00255
4500,2.1175,0.0011,0.0025
4510,2.1169,0.0011,0.0025
4520,2.1163,0.00111,0.00245
4530,2.1157,0.00111,0.0024
4540,2.1152,0.00111,0.00235
4550,2.1146,0.00111,0.00235
4560,2.114,0.00112,0.0023
4570,2.1134,0.00112,0.0023
4580,2.1128,0.00112,0.0023
4590,2.1122,0.00113,0.0022
4600,2.1116,0.00113,0.0022
4610,2.111,0.00113,0.00215
4620,2.1104,0.00113,0.00215
4630,2.1099,0.00114,0.0021
4640,2.1093,0.00114,0.0021
4650,2.1087,0.00114,0.002
