# Sapphire, ordinary ray. I. H. Malitson, J. Opt. Soc. Am. 52, 1377 (1962). Tabulated here from the Sellmeier coefficients so that the deposit carries no substrate database. Substrate of the single-layer witnesses.
Wavelength_nm,n,k
4880,1.631039821,0
4890,1.630465534,0
4900,1.629889503,0
4910,1.629311722,0
4920,1.628732187,0
4930,1.628150893,0
4940,1.627567836,0
4950,1.626983012,0
4960,1.626396414,0
4970,1.62580804,0
4980,1.625217883,0
4990,1.62462594,0
5000,1.624032206,0
5010,1.623436675,0
5020,1.622839343,0
5030,1.622240205,0
5040,1.621639257,0
5050,1.621036493,0
5060,1.620431909,0
5070,1.6198255,0
5080,1.61921726,0
5090,1.618607185,0
5100,1.61799527,0
5110,1.61738151,0
5120,1.616765899,0
5130,1.616148434,0
5140,1.615529108,0
5150,1.614907916,0
5160,1.614284854,0
5170,1.613659916,0
5180,1.613033098,0
5190,1.612404393,0
5200,1.611773797,0
