# Silicon. H. H. Li, J. Phys. Chem. Ref. Data 9, 561 (1980), crystalline silicon at 26 C, evaluated here from the formula rather than transcribed: n^2 = 11.6858 + 0.939816/L^2 + 8.10461e-3 * 1.1071^2 / (L^2 - 1.1071^2), L in micrometres. n(1.5 um) = 3.4804, n(2) = 3.4532, n(3) = 3.4339, n(4) = 3.4271. k = 0: silicon is transparent over this range. Tabulated from 1200 nm because the formula has a pole at 1107 nm; below 1200 nm it is not merely inaccurate but meaningless. Propagated, never adjusted.
Wavelength_nm,n,k
5040,3.423917228,0
5045,3.423906399,0
5050,3.423895602,0
5055,3.423884837,0
5060,3.423874104,0
5065,3.423863403,0
5070,3.423852734,0
5075,3.423842095,0
5080,3.423831489,0
5085,3.423820913,0
5090,3.423810369,0
5095,3.423799856,0
5100,3.423789373,0
5105,3.423778922,0
5110,3.423768501,0
5115,3.42375811,0
5120,3.42374775,0
5125,3.423737421,0
5130,3.423727121,0
5135,3.423716852,0
5140,3.423706612,0
5145,3.423696402,0
5150,3.423686222,0
5155,3.423676072,0
5160,3.423665951,0
5165,3.42365586,0
5170,3.423645797,0
5175,3.423635764,0
5180,3.42362576,0
5185,3.423615785,0
5190,3.423605839,0
5195,3.423595921,0
5200,3.423586032,0
5205,3.423576171,0
5210,3.423566339,0
5215,3.423556535,0
5220,3.423546759,0
5225,3.423537011,0
5230,3.423527292,0
5235,3.4235176,0
5240,3.423507935,0
5245,3.423498299,0
5250,3.42348869,0
5255,3.423479108,0
5260,3.423469553,0
5265,3.423460026,0
5270,3.423450526,0
5275,3.423441053,0
5280,3.423431607,0
5285,3.423422187,0
5290,3.423412794,0
5295,3.423403428,0
5300,3.423394088,0
5305,3.423384775,0
5310,3.423375488,0
5315,3.423366227,0
5320,3.423356992,0
5325,3.423347784,0
5330,3.423338601,0
5335,3.423329444,0
5340,3.423320312,0
5345,3.423311207,0
5350,3.423302126,0
5355,3.423293072,0
5360,3.423284042,0
5365,3.423275038,0
5370,3.423266059,0
5375,3.423257105,0
5380,3.423248176,0
5385,3.423239271,0
5390,3.423230392,0
5395,3.423221537,0
5400,3.423212707,0
5405,3.423203901,0
5410,3.423195119,0
5415,3.423186362,0
5420,3.423177629,0
5425,3.423168921,0
5430,3.423160236,0
5435,3.423151575,0
5440,3.423142938,0
5445,3.423134325,0
5450,3.423125736,0
5455,3.42311717,0
5460,3.423108628,0
5465,3.423100109,0
5470,3.423091613,0
5475,3.423083141,0
5480,3.423074692,0
5485,3.423066266,0
5490,3.423057863,0
5495,3.423049483,0
5500,3.423041126,0
5505,3.423032791,0
5510,3.423024479,0
5515,3.42301619,0
5520,3.423007923,0
5525,3.422999679,0
5530,3.422991457,0
5535,3.422983257,0
5540,3.42297508,0
5545,3.422966925,0
5550,3.422958791,0
5555,3.42295068,0
5560,3.42294259,0
5565,3.422934523,0
5570,3.422926477,0
5575,3.422918452,0
5580,3.422910449,0
5585,3.422902468,0
5590,3.422894508,0
5595,3.422886569,0
5600,3.422878652,0
5605,3.422870756,0
5610,3.422862881,0
5615,3.422855026,0
5620,3.422847193,0
5625,3.422839381,0
5630,3.42283159,0
5635,3.422823819,0
5640,3.422816069,0
5645,3.422808339,0
5650,3.42280063,0
5655,3.422792942,0
5660,3.422785273,0
5665,3.422777625,0
5670,3.422769998,0
5675,3.42276239,0
5680,3.422754803,0
5685,3.422747235,0
5690,3.422739688,0
5695,3.42273216,0
5700,3.422724652,0
5705,3.422717164,0
5710,3.422709696,0
5715,3.422702247,0
5720,3.422694817,0
5725,3.422687407,0
5730,3.422680017,0
5735,3.422672646,0
5740,3.422665294,0
5745,3.422657961,0
5750,3.422650647,0
5755,3.422643352,0
5760,3.422636077,0
5765,3.42262882,0
5770,3.422621582,0
5775,3.422614363,0
5780,3.422607163,0
5785,3.422599981,0
5790,3.422592818,0
5795,3.422585673,0
5800,3.422578547,0
5805,3.422571439,0
5810,3.42256435,0
5815,3.422557279,0
5820,3.422550226,0
5825,3.422543191,0
5830,3.422536175,0
5835,3.422529176,0
5840,3.422522195,0
5845,3.422515233,0
5850,3.422508288,0
5855,3.422501361,0
5860,3.422494451,0
5865,3.422487559,0
5870,3.422480685,0
5875,3.422473829,0
5880,3.422466989,0
5885,3.422460168,0
5890,3.422453363,0
5895,3.422446576,0
5900,3.422439806,0
5905,3.422433054,0
5910,3.422426318,0
5915,3.4224196,0
5920,3.422412898,0
5925,3.422406214,0
5930,3.422399546,0
5935,3.422392896,0
5940,3.422386262,0
5945,3.422379645,0
5950,3.422373044,0
5955,3.42236646,0
5960,3.422359893,0
5965,3.422353342,0
5970,3.422346807,0
5975,3.422340289,0
5980,3.422333788,0
5985,3.422327302,0
5990,3.422320833,0
5995,3.42231438,0
6000,3.422307943,0
