# SiO2, literature reference, NOT from this campaign. Optical constants of the universal dispersion model of D. Franta, D. Necas, I. Ohlidal and A. Giglia, Proc. SPIE 9890, 989014 (2016). Tabulated from the refractiveindex.info entry 'main/SiO2/Franta', 250-4848 nm. n(1500 nm) = 1.4449, that is 0.0256 below the value this campaign's single layers give, which is exactly the handicap the in situ test of Section 6 starts from. Used only as a starting point, never as a result. sigma_n is a flat placeholder of 0.01 and carries no published meaning.
Wavelength_nm,n,k,sigma_n
728.0,1.4549003517420895,2.6662375051890807e-199,0.01
730.0,1.4548590384148898,4.756973682806673e-198,0.01
732.0,1.4548180048111974,1.7768322504332203e-196,0.01
734.0,1.4547771940688166,4.8823160257879815e-195,0.01
736.0,1.45473660831,9.89689275213966e-194,0.01
738.0,1.4546962671891701,1.755993929314546e-192,0.01
740.0,1.4546561535438638,2.88030965682322e-191,0.01
742.0,1.4546162453232845,4.675553780573576e-190,0.01
744.0,1.4545766026260678,1.737709541958648e-188,0.01
746.0,1.4545371587334226,3.5896550551206556e-187,0.01
748.0,1.4544979405269007,6.14878036077598e-186,0.01
750.0,1.454458935381912,9.548857679827223e-185,0.01
752.0,1.454420131092341,1.3917433906253124e-183,0.01
754.0,1.4543815535317002,1.93453254102463e-182,0.01
756.0,1.4543431821639838,5.336119917225777e-181,0.01
758.0,1.4543050168807445,1.0289229087430135e-179,0.01
760.0,1.454267059059446,1.6226031012579824e-178,0.01
762.0,1.4542293016004275,2.3097224873958257e-177,0.01
764.0,1.454191727790017,3.081022523815759e-176,0.01
766.0,1.4541543617946624,3.916927176236699e-175,0.01
768.0,1.454117173423692,4.799029490695374e-174,0.01
770.0,1.4540802030402367,9.77727512021858e-173,0.01
772.0,1.4540434194941283,1.6638383509448238e-171,0.01
774.0,1.454006807779226,2.348700672197645e-170,0.01
776.0,1.453970390293531,3.0030271454835254e-169,0.01
778.0,1.453934150466767,3.604929440664822e-168,0.01
780.0,1.4538980861197046,4.132908234890178e-167,0.01
782.0,1.4538622095448666,4.567147866301104e-166,0.01
784.0,1.4538264930673543,4.898940120951499e-165,0.01
786.0,1.4537909634643267,5.963722979047505e-164,0.01
788.0,1.4537556131104734,9.57103662176523e-163,0.01
790.0,1.4537204268716153,1.2345535551000838e-161,0.01
