# Seventeen-layer beam splitter for 45 degrees, run 260319-037, on silicon with the rear face ground. Reflectance at 45 degrees in s and p, in percent. EssentOptics PHOTON RT SN 38425, 220 um slit, 5 mm spot, stage 45 degrees, detector 90, 1000-4000 nm at a 5 nm pitch, 20 averages, the two polarizations run separately. The analysis band of the study is 1500-4000 nm, one and the same for every sample of the campaign.
Wavelength_nm,R_s_pct,R_p_pct
3714.92,9.426968581,15.63771617
3720.03,10.00499762,16.00589344
3724.92,10.24780848,16.54309455
3730.03,10.5169626,17.06331009
3734.93,10.76670702,17.52363208
3740.06,11.53286406,17.81465299
3744.97,11.32943927,18.52335091
3750.1,12.00383011,18.77489576
3755.01,12.23213275,19.62591906
3759.93,12.88294375,19.60040548
3765.06,13.31236628,20.18780269
3769.98,13.57191352,20.69677413
3775.11,13.98590085,20.80519234
3780.02,14.55506256,21.64687002
3784.92,14.64669378,22.10402283
3790.04,15.71117321,22.39501882
3794.93,16.13204226,22.97948083
3800.04,16.56431507,23.26961828
3804.92,16.90828171,23.53835563
3810.01,17.65689479,24.01676958
3815.1,18.08165858,24.48015415
3819.96,18.78366125,24.62250868
3825.03,19.94736442,25.08750185
3830.1,20.41654061,25.74269638
3834.94,20.81059809,26.14762544
3840,21.66894205,26.0569371
3845.06,22.26946011,26.78638832
3850.11,23.25309447,27.03155514
3854.95,23.90979848,27.36594827
3860,24.82020812,27.76348584
3865.06,25.39865062,27.93929113
3870.11,26.53136814,28.39319457
3874.95,27.45774448,28.81358706
3880.02,27.94266331,28.89763344
3885.09,29.40783238,28.89976343
3889.94,29.85765804,29.16931989
3895.03,31.00998218,29.62656933
3900.11,32.08146803,30.1117982
3904.99,32.56555594,30.34509799
3910.08,33.55054526,30.45331788
3914.97,34.55236976,30.81127905
3920.07,35.63029107,30.96501016
3924.96,36.49999213,31.03553236
3930.08,37.0766601,31.14819445
3934.97,37.99161874,31.3392839
3940.08,38.69936396,31.445083
3944.98,39.55558482,31.66997578
3950.09,40.57315335,31.81384004
3954.98,41.49734129,31.649133
3960.08,42.22558035,31.67467017
3964.96,42.94519408,31.90966443
3970.06,43.85170329,32.00005792
3974.92,44.56511126,31.78693282
3980.01,45.24476113,31.79866867
3985.08,45.83855208,32.06751043
3989.93,46.39491496,31.94813965
3994.99,47.29861158,32.13597711
4000.04,47.92265856,31.78096972
