# Single-layer SiO2 reference single layer on double-side-polished sapphire, same deposition campaign as the components, deposited less than one week before them with no target change or chamber reconditioning in between -- which is the condition that makes the transferability test legitimate. Transmittance relative to the bare substrate at normal incidence, as a fraction. Thickness determined in Volet 1: 1681.7 nm.
Wavelength_nm,Trel
1800.01,1.02986
1804,1.03122
1807.98,1.03224
1812.05,1.03327
1816.01,1.03464
1819.96,1.03586
1824.03,1.03673
1827.98,1.0379
1832.05,1.03906
1836.03,1.04072
1840.01,1.04161
1844.01,1.04203
1848.02,1.04374
1852.04,1.04512
1855.96,1.04513
1860,1.0466
1864.05,1.04677
1867.98,1.04783
1872.02,1.04866
1876.05,1.04933
1879.96,1.0502
1883.97,1.05087
1887.96,1.0517
1892.05,1.05249
1896.01,1.05288
1899.97,1.05307
1904.02,1.05425
1907.96,1.05481
1912,1.05492
1916.05,1.05585
1919.99,1.05709
1924.05,1.05679
1928.02,1.05706
1932,1.05739
1935.99,1.05732
1939.99,1.05781
1944.01,1.0582
1948.03,1.05846
1951.95,1.05801
1955.97,1.05831
1960,1.05861
1964.01,1.05915
1968.02,1.05896
1972.01,1.05823
1975.99,1.05881
1979.95,1.05894
1984.01,1.05811
1987.95,1.05817
1991.98,1.05859
1996.01,1.05797
2000.04,1.05744
2003.96,1.05787
2008,1.05707
2012.04,1.05681
2015.99,1.05676
2019.95,1.05598
2024.03,1.05594
2028.02,1.05515
2032.01,1.05495
2036.02,1.05419
2040.03,1.05395
2044.04,1.05326
2048.05,1.05286
2052.05,1.05221
2056.03,1.05172
2060.01,1.05097
2063.97,1.05047
2068.03,1.04973
2071.96,1.04908
2075.99,1.04852
2080,1.04757
2084.02,1.04706
2088.03,1.04617
2092.04,1.04551
2096.05,1.04474
2099.97,1.04403
2104.01,1.04326
2107.95,1.04259
2112.02,1.04168
2115.99,1.04107
2119.97,1.04021
2123.96,1.03943
2127.95,1.0385
2132.05,1.03771
2136.04,1.037
2140.02,1.03604
2143.99,1.0353
2147.95,1.03451
2152,1.03366
2156.04,1.03287
2159.95,1.03202
2163.96,1.03122
2167.96,1.03047
2171.95,1.02968
2176.05,1.02874
2180.05,1.02789
2184.05,1.02704
2187.95,1.02634
2191.97,1.02549
2196,1.02472
2199.95,1.02394
2199.95,1.02415
2220,1.02027
2239.96,1.01681
2260.03,1.01328
2279.96,1.0103
2299.96,1.0081
2320.02,1.00496
2339.99,1.00387
2360,1.00141
2380.03,1.00029
2400.03,0.999425
2420.02,0.998959
2440.04,0.999286
2460,0.997839
2480.04,0.998287
2499.92,0.998569
2520.03,0.998826
2540.09,1.00128
2560.06,0.998
2579.93,1.00245
2599.98,1.005
2620.03,1.00811
2639.93,1.00771
2659.91,1.009
2679.95,1.01
2700.01,1.015
2720.02,1.01483
2739.94,1.01935
2759.99,1.02271
2779.98,1.02749
2799.98,1.02832
2820.03,1.031
2839.95,1.03331
2859.94,1.03616
2879.94,1.03969
2899.89,1.0403
2919.98,1.04253
2939.97,1.04412
2959.9,1.0468
2980.06,1.04984
3000.05,1.05191
3019.91,1.05104
3040.06,1.05339
3060,1.05402
3079.89,1.05353
3099.92,1.05418
3120.07,1.05679
3139.93,1.05536
3160.02,1.05591
3179.95,1.05809
3199.96,1.05611
3220.05,1.05527
3239.92,1.05545
3259.97,1.05334
3279.92,1.05463
3300,1.05467
3320.02,1.05391
3340.04,1.05302
3359.9,1.0527
3380.07,1.05287
3400.09,1.05159
3420.11,1.05414
3440.09,1.0499
3459.96,1.04819
3479.96,1.0458
3499.9,1.04677
3520.08,1.04558
3540.09,1.04327
3559.97,1.04054
3579.91,1.04092
3600.08,1.03922
3619.98,1.0378
3639.99,1.03793
3659.91,1.03399
3679.99,1.03339
3700.08,1.03421
3720.03,1.03167
3740.06,1.02848
3759.93,1.03052
3780.02,1.02763
3800.04,1.026
3819.96,1.02444
3840,1.02348
3860,1.02386
3880.02,1.02116
3900.11,1.02137
3920.07,1.01949
3940.08,1.01859
3960.08,1.01819
3980.01,1.01553
4000.04,1.01693
4019.99,1.01597
4039.9,1.01334
4060.06,1.01296
4080.08,1.01071
4099.96,1.01044
4120.11,1.00818
4140.01,1.00666
4160.05,1.00548
4179.97,1.00434
4200.03,1.00721
4220.07,1.00686
4239.93,1.00744
4260.1,1.00462
4279.91,1.006
4299.96,1.00921
4319.97,1.00653
4340.11,1.00257
4359.92,0.998207
4380.08,0.998543
4400.03,0.996969
4420.04,0.999163
4439.91,0.999313
4460.07,0.996034
4480.03,0.995714
4499.92,0.99853
4519.92,0.997395
4540.04,0.997145
4560.09,0.9995
4579.95,0.998713
4600.1,0.999391
4619.9,0.997832
4639.97,0.993002
4660.02,0.996245
4680,0.994594
4700.08,0.998934
4720.06,1.00361
4740.01,0.996034
4760,0.99691
4780.07,0.998129
4800,0.996277
4819.97,0.995088
4839.9,1.0024
4859.94,0.999588
4880.08,0.983855
4899.94,1.00407
4919.99,0.98645
4939.9,0.989203
4959.9,0.997116
4979.96,1.00095
5000.02,0.983099
5020.02,1.01
5039.9,0.982361
5060.1,1.00508
5080.04,0.991089
5100,1.01
5120.04,1.008
5139.96,1.0035
5159.91,0.99
5180.05,0.99
5199.88,0.998486
