# Seventeen-layer 50/50 beam splitter, run 260317-035, on double-side polished silicon. Reflectance at 45 degrees in s and p. R_a is the half-sum, which is what an unpolarized measurement returns and what this study inverts; it is rigorously invariant under a symmetric mixing of the two channels.
Wavelength_nm,R_s_pct,R_p_pct,R_a_pct
2550.09,99.31924993,90.35803671,94.83864332
2555.08,99.46506646,90.50922265,94.98714456
2560.06,99.48987846,90.35138335,94.9206309
2565.03,99.32197528,90.74462205,95.03329867
2570.01,99.49195613,91.19073038,95.34134326
2574.97,99.42163028,91.2934592,95.35754474
2579.93,99.73331377,91.46658384,95.59994881
2584.89,99.53923685,91.1267781,95.33300748
2590.07,99.53448304,91.09062725,95.31255514
2595.02,99.60895443,91.19827919,95.40361681
2599.98,99.44412626,91.46667072,95.45539849
2604.93,99.46440636,91.38219745,95.4233019
2610.11,99.61125699,91.21360833,95.41243266
2615.07,99.66609089,91.24185714,95.45397401
2620.03,99.63747324,90.53740815,95.0874407
2625,99.65200748,90.44490836,95.04845792
2629.97,99.54418169,90.1849321,94.8645569
2634.95,99.81451945,90.25414152,95.03433048
2639.93,99.62251522,90.10604815,94.86428168
2644.91,99.57128881,89.80260043,94.68694462
2649.91,99.64340849,89.70426107,94.67383478
2654.9,99.86505735,88.97571766,94.4203875
2659.91,99.53457948,88.94965282,94.24211615
2664.91,99.73143694,88.18939721,93.96041708
2669.93,99.50971915,87.3,93.40485958
2674.94,99.82247387,87.02573807,93.42410597
2679.95,99.50065156,85.87776945,92.6892105
2684.97,99.51097365,85.27562084,92.39329725
2689.99,99.44288491,84.92810062,92.18549277
2695,99.33359152,83.69593537,91.51476344
2700.01,99.29403512,82.31918803,90.80661157
2705.02,99.16793597,81.33512849,90.25153223
2710.03,98.84824772,80.17600075,89.51212424
2715.03,98.76354923,79.19448684,88.97901804
2720.02,98.7925604,77.52940687,88.16098364
2725.01,98.73792918,76.04350963,87.39071941
2730,98.58135483,74.79404183,86.68769833
2734.97,98.21362812,73.39359607,85.8036121
2739.94,98.50056786,71.91273418,85.20665102
2744.91,98.52756364,70.0603302,84.29394692
2750.09,98.34075652,68.06608749,83.20342201
2755.04,98.10765421,66.40559781,82.25662601
2759.99,97.89332009,64.53618467,81.21475238
2764.93,97.88285319,62.53054145,80.20669732
2770.1,97.76862946,60.4050645,79.08684698
2775.04,97.72443467,58.46294096,78.09368782
2779.98,97.42216001,56.90262097,77.16239049
2784.92,97.08729696,54.79945589,75.94337642
2790.09,96.93541282,52.73065679,74.8330348
2795.03,96.70986785,51.01869913,73.86428349
2799.98,96.4340527,49.42477886,72.92941578
2804.93,96.26112932,48.05501512,72.15807222
2810.11,95.59327649,46.46879994,71.03103821
2815.07,95.1622145,45.50542829,70.33382139
2820.03,94.62176697,44.50836083,69.5650639
2825,94.04336201,43.72050272,68.88193237
2829.98,93.45162485,43.07543093,68.26352789
2834.96,92.71294505,42.65902812,67.68598658
2839.95,91.76130344,42.6673882,67.21434582
2844.94,90.96123133,42.3651228,66.66317706
2849.94,89.55625242,42.61050713,66.08337977
2854.94,88.46139821,43.0072315,65.73431486
2859.94,86.88487013,42.8148625,64.84986631
2864.94,85.27877218,43.52429027,64.40153123
2869.94,83.44306108,43.62530889,63.53418498
2874.94,81.26396944,44.4,62.83198472
2879.94,78.98237851,44.67423938,61.82830895
2884.94,76.64113393,45.00521579,60.82317486
2889.93,73.89124806,45.50563504,59.69844155
2894.91,71.19231127,46.08682919,58.63957023
2899.89,68.39478353,46.43901518,57.41689935
2905.1,65.52353165,46.88698276,56.20525721
2910.06,62.84738526,47.42661777,55.13700152
2915.03,60.42961778,47.78143353,54.10552565
2919.98,58.25910667,47.99359261,53.12634964
2924.93,56.16926298,48.32527978,52.24727138
2930.1,54.54991542,48.5351916,51.54255351
2935.04,53.19737515,48.6781086,50.93774187
2939.97,52.12944378,48.96126792,50.54535585
2944.9,51.20365169,48.83060518,50.01712843
2950.05,50.6974168,49.21410309,49.95575994
2954.98,49.98065286,49.36611743,49.67338515
2959.9,49.83078538,49.52097477,49.67588008
2965.05,49.66171421,49.4193947,49.54055446
2969.98,49.71942991,49.47821296,49.59882144
2974.9,49.46378875,49.37856823,49.42117849
2980.06,49.43895724,49.46984131,49.45439927
2984.99,49.34896747,49.37587895,49.36242321
2989.93,49.34812444,49.57319352,49.46065898
2995.1,49.20693479,49.03949555,49.12321517
3000.05,49.15736562,49.36388429,49.26062496
3005.01,49.03502045,49.17849557,49.10675801
3009.97,48.94142237,49.27827557,49.10984897
3014.94,48.89362647,49.36659469,49.13011058
3019.91,48.76943098,49.20898368,48.98920733
3025.11,48.79511635,49.39209732,49.09360683
3030.09,48.89490457,49.18922848,49.04206653
3035.07,48.89103665,49.42056062,49.15579863
3040.06,49.085401,49.58277504,49.33408802
3045.04,49.44414077,49.46416844,49.4541546
3050.03,49.79814809,49.68709594,49.74262201
3055.01,50.34376362,49.51542925,49.92959644
3060,50.97924704,49.65760368,50.31842536
3064.98,51.51506141,49.78605213,50.65055677
3069.95,52.56083478,49.81700222,51.1889185
3074.92,53.56580721,50.21687307,51.89134014
3079.89,54.53568562,50.06011647,52.29790104
3085.07,55.68276342,50.33695539,53.00985941
3090.03,56.79830427,50.76369669,53.78100048
3094.97,58.13345974,50.68122374,54.40734174
3099.92,59.4881963,50.91162906,55.19991268
3105.07,60.94021837,50.89144592,55.91583214
3110,62.39809432,51.35410875,56.87610153
3114.92,63.74241922,51.49705167,57.61973544
3120.07,65.03,51.87048891,58.45024445
3124.98,66.44665597,51.66046852,59.05356225
3130.11,67.73389005,52.12081268,59.92735137
3135.02,68.92832013,52.03810521,60.48321267
3139.93,70.26879813,52.42033628,61.34456721
3145.06,71.44303164,52.45575524,61.94939344
3149.97,72.53666383,52.51682131,62.52674257
3155.11,73.46399209,52.59589078,63.02994143
3160.02,74.5178165,52.63236088,63.57508869
3164.94,75.13760286,52.50142154,63.8195122
3170.09,76.03701391,52.66190129,64.3494576
3175.01,76.86593321,52.73966902,64.80280111
3179.95,77.79977118,52.71165611,65.25571364
3185.11,78.42421273,52.68824806,65.55623039
3190.06,78.90883968,52.5380903,65.72346499
3195.01,79.65944344,52.52204918,66.09074631
3199.96,80.1513838,52.39629882,66.27384131
3204.92,80.41112533,52.32962865,66.37037699
3210.11,80.94531758,52.14544797,66.54538277
3215.08,81.33878771,51.96,66.64939386
3220.05,81.77991587,51.78987263,66.78489425
3225.02,82.02821035,51.67806671,66.85313853
3229.98,82.3015891,51.29700946,66.79929928
3234.95,82.55235085,50.96164105,66.75699595
3239.92,83.10047762,50.61950779,66.8599927
3245.11,83.38959322,50.11755017,66.75357169
3250.07,83.23424393,49.79674861,66.51549627
3255.02,83.33036258,49.54404601,66.43720429
3259.97,83.90310714,49.14311226,66.5231097
3264.91,83.72966768,48.39395514,66.06181141
3270.07,83.90714412,48.21418096,66.06066254
3275,83.82999206,47.31415783,65.57207494
3279.92,84.21476493,46.81983596,65.51730044
3285.06,83.75240603,46.03239988,64.89240295
3289.97,83.68431787,45.37701581,64.53066684
3295.1,83.98171533,44.73375384,64.35773458
3300,83.63496348,44.01888785,63.82692566
3304.9,83.7746457,42.9754151,63.3750304
3310.01,83.23056739,42.27449821,62.7525328
3314.91,83.37960667,41.58753191,62.48356929
3320.02,83.16913955,40.70770139,61.93842047
3324.91,82.87550429,39.60503813,61.24027121
3330.02,82.62871481,39.00334634,60.81603058
3334.92,82.40186554,37.95233282,60.17709918
3340.04,82.42135897,36.77883827,59.60009862
3344.94,81.89119731,35.6224933,58.75684531
3350.07,81.33762422,34.64705397,57.99233909
3354.98,81.08624139,33.57890817,57.33257478
3359.9,80.76472128,32.51547512,56.6400982
3365.05,80.59084998,31.4197976,56.00532379
3369.98,80.01323479,30.21225325,55.11274402
3374.91,79.16921467,29.18592326,54.17756896
3380.07,78.92362668,27.76461923,53.34412295
3385.02,78.17104605,26.75613958,52.46359281
3389.96,77.70208502,25.47770766,51.58989634
3394.91,76.54679492,24.24412926,50.39546209
3400.09,76.21148167,23.07335637,49.64241902
3405.04,75.36380661,21.88498864,48.62439763
3409.99,74.60103484,20.85290565,47.72697025
3414.94,73.78462594,19.70007813,46.74235203
3420.11,72.93398967,18.46859897,45.70129432
3425.06,71.79021475,17.41731953,44.60376714
3430,70.78580509,16.42010472,43.6029549
3434.93,69.55762025,15.3568776,42.45724892
3440.09,68.16300988,14.3209058,41.24195784
3445.01,67.18058326,13.19840928,40.18949627
3449.93,65.96363691,12.19394521,39.07879106
3455.06,64.72680255,11.41407604,38.0704393
3459.96,63.40217029,10.34608163,36.87412596
3465.08,61.81338413,9.515776386,35.66458026
3469.97,60.23126656,8.750529293,34.49089793
3475.08,58.56267537,8.104679286,33.33367733
3479.96,56.64338939,7.378604727,32.01099706
3485.06,55.27282212,6.701882328,30.98735222
3489.94,53.0587284,6.138816074,29.59877224
3495.03,51.4759383,5.640376134,28.55815721
3499.9,49.14432708,5.062986345,27.10365671
3505,47.24541267,4.83127063,26.03834165
3510.1,45.30924007,4.236981136,24.7731106
3514.97,43.10978892,3.972248004,23.54101846
3520.08,40.89557464,3.62320969,22.25939216
3524.96,38.80355853,3.582984285,21.19327141
3530.07,36.54867627,3.256397599,19.90253694
3534.97,34.31680174,3.395192494,18.85599712
3540.09,32.13784028,3.369033889,17.75343709
3545,30.09905608,3.262377213,16.68071665
3549.91,27.91906512,3.458862247,15.68896368
3555.05,25.75689018,3.364517599,14.56070389
3559.97,23.92889719,3.399868009,13.6643826
3564.9,21.73047747,3.778517012,12.75449724
3570.05,19.87744312,3.710087891,11.7937655
3574.98,18.11772463,3.934301393,11.02601301
3579.91,16.55425755,4.191008716,10.37263313
3585.07,15.14414,4.574893088,9.859516547
3590,13.81378561,4.743760566,9.278773087
3594.93,12.51614496,5.110365493,8.813255225
3600.08,11.40744931,5.572412895,8.4899311
3605.01,10.45654079,5.825146259,8.140843523
3609.93,9.648467748,6.276676602,7.962572175
3615.07,8.428020401,6.355486009,7.391753205
3619.98,8.065691023,7.029626758,7.54765889
3625.1,7.587162542,7.322938552,7.455050547
3630,6.841963824,7.882504314,7.362234069
3635.11,6.822769811,8.221198294,7.521984052
3639.99,6.475275471,8.669341773,7.572308622
3645.09,6.342258401,9.191261562,7.766759982
3649.96,6.206724462,9.555076926,7.880900694
3655.04,6.342425551,10.00322871,8.172827128
3659.91,6.468079618,10.65185367,8.559966645
