# Single-layer Nb2O5 witness on double-side polished sapphire, same deposition campaign as the components, less than one week apart, no target change or chamber reconditioning in between. Transmittance relative to the bare substrate at normal incidence, as a fraction. Reproduced from the Volet 1 deposit.
Wavelength_nm,Trel
2770.1,0.896662
2779.98,0.892425
2790.09,0.885863
2799.98,0.882065
2810.11,0.8772
2820.03,0.873549
2829.98,0.869224
2839.95,0.864628
2849.94,0.861158
2859.94,0.857953
2869.94,0.85556
2879.94,0.852403
2889.93,0.849838
2899.89,0.846516
2910.06,0.844609
2919.98,0.843209
2930.1,0.841629
2939.97,0.840076
2950.05,0.839475
2959.9,0.837781
2969.98,0.837315
2980.06,0.835963
2989.93,0.835161
3000.05,0.836197
3009.97,0.836541
3019.91,0.835443
3030.09,0.835898
3040.06,0.837264
3050.03,0.838184
3060,0.839114
3069.95,0.840439
3079.89,0.84119
3090.03,0.842894
3099.92,0.84401
3110,0.846316
3120.07,0.848163
3130.11,0.849981
3139.93,0.852206
3149.97,0.855277
3160.02,0.857984
3170.09,0.860803
3179.95,0.862177
3190.06,0.866219
3199.96,0.868829
3210.11,0.86981
3220.05,0.87324
3229.98,0.876547
3239.92,0.879595
3250.07,0.8841
3259.97,0.886566
3270.07,0.890257
3279.92,0.893303
3289.97,0.897797
3300,0.900357
3310.01,0.903449
3320.02,0.907585
3330.02,0.912124
3340.04,0.916032
3350.07,0.91916
3359.9,0.922262
3369.98,0.925993
3380.07,0.929937
3389.96,0.933318
3400.09,0.936555
3409.99,0.941778
3420.11,0.944871
3430,0.946891
3440.09,0.949007
3449.93,0.95288
3459.96,0.95473
3469.97,0.959009
3479.96,0.962405
3489.94,0.965402
3499.9,0.967672
3510.1,0.969571
3520.08,0.970753
3530.07,0.975127
3540.09,0.97673
3549.91,0.978987
3559.97,0.981461
3570.05,0.983524
3579.91,0.985731
3590,0.984947
3600.08,0.986471
3609.93,0.987599
3619.98,0.988695
3630,0.991079
3639.99,0.992694
3649.96,0.995012
3659.91,0.991435
3670.06,0.990133
3679.99,0.994022
3689.92,0.996678
3700.08,0.996334
3710.04,0.992215
3720.03,0.994571
3730.03,0.995389
3740.06,0.992674
3750.1,0.994901
3759.93,0.993842
3769.98,0.992807
3780.02,0.99003
3790.04,0.991123
3800.04,0.990397
3810.01,0.990389
3819.96,0.987431
3830.1,0.98531
3840,0.986174
3850.11,0.983001
3860,0.9842
3870.11,0.979183
3880.02,0.979908
3889.94,0.975958
3900.11,0.976423
3910.08,0.974566
3920.07,0.973062
3930.08,0.969945
3940.08,0.968477
3950.09,0.964554
3960.08,0.964565
3970.06,0.962687
3980.01,0.959549
3989.93,0.957437
4000.04,0.956389
4009.91,0.952182
4019.99,0.950954
4030.05,0.948808
4039.9,0.944399
4049.97,0.944924
4060.06,0.943144
4069.95,0.939348
4080.08,0.937397
4090.01,0.937148
4099.96,0.931331
